Date,Cellphone,Smartphone
10/27/02,62,NA
11/30/04,65,NA
2/9/05,66,NA
12/31/05,67,NA
3/28/06,66,NA
4/6/06,73,NA
9/5/07,76,NA
12/2/07,75,NA
1/13/08,77,NA
5/11/08,78,NA
8/10/08,82,NA
12/20/08,84,NA
1/27/09,85,NA
4/19/09,85,NA
9/14/09,84,NA
12/27/09,83,NA
1/19/10,80,NA
5/30/10,82,NA
9/13/10,85,NA
11/1/10,84,NA
11/24/10,82,NA
11/28/10,82,NA
12/21/10,81,NA
3/20/11,86,NA
5/22/11,83,35
8/26/11,84,NA
12/21/11,87,NA
1/8/12,88,NA
1/15/12,87,39
2/19/12,88,45
4/3/12,88,46
8/5/12,87,44
8/7/12,89,NA
9/6/12,85,45
9/23/12,88,43
9/30/12,89,NA
10/14/12,88,NA
11/4/12,89,NA
11/10/12,84,46
12/9/12,87,45
12/16/12,88,NA
1/6/13,89,51
5/19/13,91,56
7/14/13,90,53
7/28/13,91,53
9/16/13,89,54
9/30/13,91,55
10/6/13,92,58
1/5/14,92,55
1/12/14,90,58
1/26/14,91,55
2/18/14,90,NA
4/27/14,92,NA
9/21/14,91,NA
12/21/14,89,59
4/12/15,92,67
7/12/15,92,68
11/15/15,91,69
4/4/16,92,72
5/3/16,92,70
11/6/16,95,77
1/10/18,95,77
2/7/19,96,81
2/8/21,97,85
